EmbeddingModel,Classifier,Corpora,CvFold,Accuracy,F1scoreMacro,PrecisionMacro,RecallMacro,Support
Word2Vec (CBOW),LogisticRegression,Pełny,4,0.3206939281288724,0.1490576112944713,0.19354182345523976,0.21074251613397207,8070.0
Word2Vec (Skip-gram),KNeighborsClassifier,Wzorcowy,4,0.30049566294919455,0.08899149822813078,0.34920697054784805,0.17172751361838134,8070.0
Word2Vec (CBOW),KNeighborsClassifier,Pełny,4,0.2997521685254027,0.08360751874779469,0.29625390869293305,0.1689246224891818,8070.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Wzorcowy,4,0.322180916976456,0.1730272292351368,0.31886374139600765,0.2182566309954651,8070.0
Word2Vec (CBOW),DecisionTreeClassifier,Pełny,4,0.32205700123915737,0.1517943080848754,0.2719693369758243,0.2102037319075919,8070.0
Word2Vec (Skip-gram),LogisticRegression,Wzorcowy,5,0.32602230483271377,0.15188503334284786,0.2009458252553841,0.21337452049268912,8070.0
Word2Vec (CBOW),LogisticRegression,Pełny,5,0.32627013630731105,0.1521948164326196,0.20152275547213097,0.21382581314134783,8070.0
Word2Vec (Skip-gram),KNeighborsClassifier,Wzorcowy,5,0.2990086741016109,0.08712753780309918,0.291938263790162,0.17047987362271413,8070.0
Word2Vec (CBOW),KNeighborsClassifier,Pełny,5,0.2980173482032218,0.08089466557324929,0.22969589766520246,0.1674065401881143,8070.0
Word2Vec (Skip-gram),DecisionTreeClassifier,Wzorcowy,5,0.324907063197026,0.16507313877808988,0.35070249196386266,0.2134615525035893,8070.0
Word2Vec (CBOW),DecisionTreeClassifier,Pełny,5,0.3237918215613383,0.15017660270582145,0.3011781304353604,0.20611295084813988,8070.0
FastText (CBOW),LogisticRegression,Wzorcowy,1,0.4428199727419155,0.31839310825911893,0.3973054556924962,0.33064928754819006,8071.0
FastText (CBOW),LogisticRegression,Pełny,1,0.4440589765828274,0.32217790053987727,0.3761655830700543,0.3329960112980205,8071.0
FastText (CBOW),KNeighborsClassifier,Wzorcowy,1,0.52756783546029,0.46360509411149725,0.4908250181515179,0.4530372239395641,8071.0
FastText (CBOW),KNeighborsClassifier,Pełny,1,0.5131953909057118,0.44542709410581116,0.46726467146912914,0.436474062537441,8071.0
FastText (CBOW),DecisionTreeClassifier,Wzorcowy,1,0.438607359682815,0.37731096160034255,0.37752047562838914,0.37726032543249177,8071.0
FastText (CBOW),DecisionTreeClassifier,Pełny,1,0.43922686160327096,0.3793691760032509,0.3795595377797126,0.3794669838229476,8071.0
FastText (CBOW),LogisticRegression,Wzorcowy,2,0.436624953537356,0.3072502683581602,0.3620834672141174,0.3234156127472944,8071.0
FastText (CBOW),LogisticRegression,Pełny,2,0.4535993061578491,0.3304434814525055,0.4245692154553648,0.3402659310118203,8071.0
